ID,FictionWork,FictionWorkAuthor,FictionWorkYear,FirstFilmAdaptation,FilmAdaptationYear,bookID
8,About a Boy,Nick Hornby,1998.0,About a Boy,2002.0,4273
23,Adventures of Huckleberry Finn,Mark Twain,1884.0,Huckleberry Finn,1920.0,2958
62,The Adventures of Sherlock Holmes,,,Sherlock Holmes,1916.0,4465
94,After the Funeral,Agatha Christie,1953.0,Murder at the Gallop,1963.0,16340
99,The Agony and the Ecstasy,Irving Stone,1961.0,The Agony and the Ecstasy,1965.0,40478
115,All the King's Men,Robert Penn Warren,1946.0,All the King's Men,1949.0,5527
138,American Psycho,Bret Easton Ellis,1991.0,American Psycho,2000.0,4023
143,Amerika,Franz Kafka,1927.0,Klassenverhältnisse (Class Relations),1984.0,22911
154,And Then There Were None,Agatha Christie,1939.0,And Then There Were None,1945.0,16299
175,The Angry Hills,Leon Uris,1955.0,The Angry Hills,1959.0,42695
234,Arrowsmith,Sinclair Lewis,1925.0,Arrowsmith,1931.0,11389
252,Atonement,Ian McEwan,2001.0,Atonement,2007.0,9961
268,Back When We Were Grownups,Anne Tyler,2001.0,Back When We Were Grownups,2004.0,31178
288,Battle Cry,Leon Uris,1953.0,Battle Cry,1955.0,42694
338,Beloved,Toni Morrison,1987.0,Beloved,1998.0,6149
391,Black Beauty,Anna Sewell,1877.0,Your Obedient Servant,1917.0,3685
485,Brave New World,Aldous Huxley,1932.0,Brave New World,1980.0,5129
498,Bridge to Terabithia,Katherine Paterson,1977.0,Bridge to Terabithia,1985.0,2836
539,The Call of the Wild,Jack London,1903.0,The Call of the Wild,1935.0,1852
565,Carrie,Stephen King,1974.0,Carrie,1976.0,10622
569,A Case of Need,Michael Crichton,1968.0,The Carey Treatment,1972.0,7663
572,Casino Royale,Ian Fleming,1953.0,Casino Royale,1967.0,5821
580,Catch-22,Joseph Heller,1961.0,Catch-22,1970.0,4610
584,The Cement Garden,Ian McEwan,1978.0,The Cement Garden,1993.0,9957
611,Christine,Stephen King,1983.0,Christine,1983.0,10629
641,The Client,John Grisham,1993.0,The Client,1994.0,5359
643,A Clockwork Orange,Anthony Burgess,1962.0,Vinyl,1965.0,8810
654,Cold Mountain,Charles Frazier,1997.0,Cold Mountain,2003.0,10920
657,The Color Purple,Alice Walker,1982.0,The Color Purple,1985.0,11486
662,The Comfort of Strangers,Ian McEwan,1981.0,The Comfort of Strangers,1990.0,6872
671,Congo,Michael Crichton,1980.0,Congo,1995.0,7672
728,The Da Vinci Code,Dan Brown,2003.0,The Da Vinci Code,2006.0,969
746,Daniel Deronda,George Eliot,1876.0,Daniel Deronda,1921.0,27456
750,The Dark Is Rising Sequence,Susan Cooper,1965.0,The Seeker,2007.0,24958
781,Dear John,Nicholas Sparks,2006.0,Dear John,2010.0,5526
