bookID,title,isbn,isbn13,language_code,  num_pages,publication_date,publisher
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),0439785960,9780439785969,eng,652,2006-09-16T00:00:00,Scholastic Inc.
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),0439358078,9780439358071,eng,870,2004-09-01T00:00:00,Scholastic Inc.
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),0439554896,9780439554893,eng,352,2003-11-01T00:00:00,Scholastic
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),043965548X,9780439655484,eng,435,2004-05-01T00:00:00,Scholastic Inc.
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),0439682584,9780439682589,eng,2690,2004-09-13T00:00:00,Scholastic
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",0976540606,9780976540601,en-US,152,2005-04-26T00:00:00,Nimble Books
10,Harry Potter Collection (Harry Potter  #1-6),0439827604,9780439827607,eng,3342,2005-09-12T00:00:00,Scholastic
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),0517226952,9780517226957,eng,815,2005-11-01T00:00:00,Gramercy Books
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),0345453743,9780345453747,eng,815,2002-04-30T00:00:00,Del Rey Books
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),1400052920,9781400052929,eng,215,2004-08-03T00:00:00,Crown
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),0739322206,9780739322208,eng,6,2005-03-23T00:00:00,Random House Audio
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),0517149257,9780517149256,eng,815,1996-01-17T00:00:00,Wings Books
21,A Short History of Nearly Everything,076790818X,9780767908184,eng,544,2004-09-14T00:00:00,Broadway Books
22,Bill Bryson's African Diary,0767915062,9780767915069,eng,55,2002-12-03T00:00:00,Broadway Books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,0767910435,9780767910439,eng,256,2004-09-14T00:00:00,Broadway Books
24,In a Sunburned Country,0767903862,9780767903868,eng,335,2001-05-15T00:00:00,Broadway Books
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,076790382X,9780767903820,eng,304,2000-06-28T00:00:00,Broadway Books
26,The Lost Continent: Travels in Small Town America,0060920084,9780060920081,eng,299,1990-08-28T00:00:00,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,0380713802,9780380713806,eng,254,1993-03-28T00:00:00,William Morrow Paperbacks
28,Notes from a Small Island,0380727501,9780380727506,eng,324,1997-05-28T00:00:00,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,0380715430,9780380715435,eng,270,1991-09-28T00:00:00,William Morrow Paperbacks
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0345538374,9780345538376,eng,1728,2012-09-25T00:00:00,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),0618517650,9780618517657,eng,1184,2004-10-21T00:00:00,Houghton Mifflin Harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),0618346252,9780618346257,eng,398,2003-09-05T00:00:00,Houghton Mifflin Harcourt
35,The Lord of the Rings (The Lord of the Rings  #1-3),0618260587,9780618260584,en-US,1216,2002-10-01T00:00:00,Houghton Mifflin Harcourt
36,The Lord of the Rings: Weapons and Warfare,0618391002,9780618391004,eng,218,2003-11-05T00:00:00,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,0618510826,9780618510825,eng,224,2004-11-15T00:00:00,Houghton Mifflin Harcourt
45,Agile Web Development with Rails: A Pragmatic Guide,097669400X,9780976694007,eng,558,2005-07-28T00:00:00,Pragmatic Bookshelf
50,Hatchet (Brian's Saga  #1),0689840926,9780689840920,eng,208,2000-04-01T00:00:00,Atheneum Books for Young Readers: Richard Jackson Books
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",1557344493,9781557344496,eng,48,1994-08-28T00:00:00,Teacher Created Resources
53,Guts: The True Stories behind Hatchet and the Brian Books,0385326505,9780385326506,eng,144,2001-01-23T00:00:00,Delacorte Press
54,Molly Hatchet - 5 of the Best,1575606240,9781575606248,eng,56,2003-06-10T00:00:00,Cherry Lane Music Company
55,Hatchet Jobs: Writings on Contemporary Fiction,1595580271,9781595580276,en-US,228,2005-11-01T00:00:00,The New Press
57,A Changeling for All Seasons (Changeling Seasons #1),1595962808,9781595962805,eng,304,2005-11-01T00:00:00,Changeling Press
58,Changeling (Changeling  #1),0670059676,9780670059676,eng,256,2006-08-17T00:00:00,Viking Juvenile
59,The Changeling Sea,0141312629,9780141312620,eng,137,2003-04-14T00:00:00,Firebird
61,The Changeling,0595321801,9780595321803,eng,228,2004-06-08T00:00:00,iUniverse
63,The Changeling,1590301943,9781590301944,eng,339,2005-04-12T00:00:00,Shambhala
66,The Changeling (Daughters of England  #15),0449146979,9780449146972,eng,369,1990-08-28T00:00:00,Ivy Books
67,The Known World,0061159174,9780061159176,eng,388,2006-08-29T00:00:00,Amistad
68,The Known World,006076273X,9780060762735,en-US,14,2004-06-15T00:00:00,HarperAudio
69,The Known World,0060749911,9780060749910,eng,576,2004-06-15T00:00:00,Harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,0273704745,9780273704744,eng,334,2006-05-15T00:00:00,FT Press
72,Artesia: Adventures in the Known World,1932386106,9781932386103,eng,352,2005-12-14T00:00:00,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),0374517193,9780374517199,eng,416,1982-06-01T00:00:00,Farrar  Straus and Giroux
75,Uncommon Carriers,0374280398,9780374280390,en-US,248,2006-05-16T00:00:00,Farrar Straus Giroux
76,Heirs of General Practice,0374519749,9780374519742,eng,128,1986-04-01T00:00:00,Farrar  Straus and Giroux
77,The Control of Nature,0374522596,9780374522599,en-US,288,1990-09-01T00:00:00,Farrar  Straus and Giroux
78,Annals of the Former World,0374518734,9780374518738,eng,720,1999-01-06T00:00:00,Farrar  Straus and Giroux
79,Coming Into the Country,0374522871,9780374522872,eng,448,1991-04-01T00:00:00,Farrar  Straus and Giroux
80,La Place de la Concorde Suisse,0374519323,9780374519322,fre,160,1994-04-01T00:00:00,Farrar  Straus and Giroux
81,Giving Good Weight,0374516006,9780374516000,eng,288,1994-04-01T00:00:00,Farrar  Straus and Giroux
83,Rising from the Plains,0374520658,9780374520656,eng,208,1987-11-01T00:00:00,Farrar  Straus and Giroux
85,The Heidi Chronicles,0822205106,9780822205104,eng,81,2002-03-01T00:00:00,Dramatists Play Service
