ID;FictionWork;FictionWorkAuthor;FictionWorkYear;FirstFilmAdaptation;FilmAdaptationYear
0;The 25th Hour;David Benioff;2001;25th Hour;2002
1;3 Assassins (グラスホッパー, Gurasuhoppā);Kōtarō Isaka;2004;Grasshopper;2015
2;4.50 from Paddington;Agatha Christie;1957;Murder, She Said;1961
4;58 Minutes;Walter Wager;1987;Die Hard 2;1990
5;69 (シクスティナイン, Shikusutinain);Ryu Murakami;1987;69;2004
6;The A.B.C. Murders;Agatha Christie;1936;The Alphabet Murders;1966
7;À ton image;Louise L. Lambrichs;1998;À ton image;2004
8;About a Boy;Nick Hornby;1998;About a Boy;2002
9;About Schmidt;Louis Begley;1996;About Schmidt;2002
10;Absolute Power;David Baldacci;1996;Absolute Power;1997
11;The Accidental Tourist;Anne Tyler;1985;The Accidental Tourist;1988
12;Across 110th;Wally Ferris;1970;Across 110th Street;1972
13;Adam Resurrected (Hebrew: אדם בן כלב);Yoram Kaniuk;1969;Adam Resurrected;2009
14;Adams Fall;Sean Desmond;2000;Abandon;2002
15;Addie Pray;Joe David Brown;1971;Paper Moon;1973
16;Adiliya by the River;Jin Renshun;1999;Green Tea;2003
17;Adolphe;Benjamin Constant;1816;Adolphe;2002
18;Adventure;Jack London;1911;Adventure;1925
19;The Adventurers;Harold Robbins;1966;The Adventurers;1970
20;The Adventures of Captain Alatriste (Spanish: Las aventuras del capitán Alatriste);Arturo Pérez-Reverte;1996;Alatriste;2006
21;The Adventures of Captain Hatteras (French: Voyages et aventures du capitaine Hatteras);Jules Verne;1866;The Conquest of the Pole (French: Conquête du pôle);1912
22;The Adventures of Hajji Baba of Ispahan;James Justinian Morier;1824;The Adventures of Hajji Baba;1954
23;Adventures of Huckleberry Finn;Mark Twain;1884;Huckleberry Finn;1920
36;The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino);Carlo Collodi;1883;The Adventures of Pinocchio;1911
62;The Adventures of Sherlock Holmes;NaN;NaN;Sherlock Holmes;1916
68;The Adventures of Tom Sawyer;Mark Twain;1876;Tom Sawyer;1917
88;Advise and Consent;Allen Drury;1959;Advise & Consent;1962
89;Aelita (1923);NaN;NaN;Aelita;1924
90;The African Queen;C. S. Forester;1935;The African Queen;1951
91;After;Anna Todd;2017;After;2019
92;After Dark, My Sweet;Jim Thompson;1955;After Dark, My Sweet;1990
93;After Hours;Edwin Torres;1979;Carlito's Way;1993
94;After the Funeral;Agatha Christie;1953;Murder at the Gallop;1963
95;The Age of Innocence;Edith Wharton;1921;The Age of Innocence;1924
99;The Agony and the Ecstasy;Irving Stone;1961;The Agony and the Ecstasy;1965
100;Aimez-vous Brahms?;Françoise Sagan;1959;Goodbye Again;1961
102;Airborn;Kenneth Oppel;2004;Airborn;2012
103;Airport;Arthur Hailey;1968;Airport;1970
107;Alice Adams;Booth Tarkington;1921;Alice Adams;1923
109;Allan Quatermain;Sir H. Rider Haggard;1887;Allan Quatermain and the Lost City of Gold;1987
110;All Fall Down;James Leo Herlihy;1960;All Fall Down;1962
111;All Men Are Mortal (French: Tous les hommes sont mortels);Simone de Beauvoir;1946;All Men Are Mortal;1995
112;All the Brothers Were Valiant;Ben Ames Williams;1919;All the Brothers Were Valiant;1923
115;All the King's Men;Robert Penn Warren;1946;All the King's Men;1949
117;All Quiet on the Western Front (German: Im Westen nichts Neues);Erich Maria Remarque;1929;All Quiet on the Western Front;1930
121;All She Was Worth (火車, Kasha);Miyuki Miyabe;1992;Kasha: Kâdo hasan no onna!;1994
123;All the Pretty Horses;Cormac McCarthy;1992;All the Pretty Horses;2000
124;All the Way;Andy Behrens;2001;Sex Drive;2008
125;All You Need Is Kill;Hiroshi Sakurazaka;2009;Edge of Tomorrow;2014
126;Almayer's Folly;Joseph Conrad;1895;Hanyut;2011
128;Almost Transparent Blue (限りなく透明に近いブルー, Kagirinaku Tōmei ni Chikai Burū);Ryū Murakami;1976;Almost Transparent Blue;1979
129;Along Came a Spider;James Patterson;1993;Along Came a Spider;2001
130;Altered States;Paddy Chayefsky;1978;Altered States;1980
131;Always Another Dawn;Zelma Roberts;1948;Always Another Dawn;1948
132;Always Outnumbered, Always Outgunned;Walter Mosley;1987;Always Outnumbered;1998
133;The Alzheimer Case (Dutch: De zaak Alzheimer);Jef Geeraerts;2000;The Alzheimer Case;2003
135;The Amateur (Spanish: El Amateur);Mauricio Dayub;1990;The Amateur (Spanish: El Amateur);1999
136;An American Dream;Norman Mailer;1965;An American Dream;1966
137;American Knees;Shawn Wong;1995;Americanese;2006
138;American Psycho;Bret Easton Ellis;1991;American Psycho;2000
140;American Splendor;Harvey Pekar;1976;American Splendor;2003
141;An American Tragedy;Theodore Dreiser;1925;A Place in the Sun;1951
142;The Americanization of Emily;William Bradford Huie;1959;The Americanization of Emily;1964
143;Amerika;Franz Kafka;1927;Klassenverhältnisse (Class Relations);1984
146;Les amitiés particulières (This Special Friendship);Roger Peyrefitte;1943;Les amitiés particulières;1964
147;The Amityville Horror;Jay Anson;1977;The Amityville Horror;1979
149;Amos Judd;John Ames Mitchell;1895;The Young Rajah;1922
150;Amu;Shonali Bose;2005;Amu;2005
151;Anatomy of a Murder;John D. Voelker;1958;Anatomy of a Murder;1959
152;An Ancient Tale: A Novel in Polish History (Polish: Stara baśń. Powieść z dziejów Polski);Józef Ignacy Kraszewski;1876;An Ancient Tale: When the Sun Was a God (Polish: Stara baśń: Kiedy słońce było bogiem);2003
153;And Now Tomorrow;Rachel Field;1942;And Now Tomorrow;1944
154;And Then There Were None;Agatha Christie;1939;And Then There Were None;1945
