authorID,authorName
0,Flannery O'Connor
1,Jean-Jacques Rousseau
2,Ross Garnaut
3,Cyd Moore
4,Sherri L. King
5,Jean Van Leeuwen
6,Catherine Nichols
7,Elye J. Alexander
8,Douglas E. Winter
9,Steele Savage
10,Ann Charters
11,Shannon Russell
12,Livia Reasoner
13,Maria Antonia Garcés
14,J. Allen St. John
15,Chaim Potok
16,Chester Gould
17,Martha White
18,Frankie Frankeny
19,Jessica Lourey
20,H.D.F. Kitto
21,J. Martin Holman
22,Adam-Troy Castro
23,Douglas Parmée
24,Stanislas Brézet
25,Rosemary Jann
26,Mary  Stewart
27,Galadriel Waters
28,Julia Golding
29,Anthony Shadid
30,Daniel Goleman
31,Sergio Mancini
32,Isabel Allende
33,Denis Waitley
34,Stephen Crane
35,Melissa Painter
36,Satosumi Takaguchi
37,Graham   Watson
38,Swain Wódening
39,Dan Hitt
40,George Gamow
41,Stephen Greenblatt
42,Michael Spring
43,Philip   Booth
44,Lolita Files
45,Rhonda  Evans
46,Jan Duursema
47,Sylvia Plath
48,David J. Danelo
49,William Holdsworth
50,Amos Oz
51,John   Bowe
52,Walter J. Cobb
53,Robin P. Williams
54,Gary Friedrich
55,James Turner
56,Marc Andreyko
57,Marisabina Russo
58,Rudyard Kipling
59,Elizabeth Silverthorne
60,D.W. Moffett
61,Sarah Miller
62,Troy Howell
63,Dana Cameron
64,Thomas Pynchon
65,Jenny Nimmo
66,Dave Crane
67,Stephan R. Shalom
68,Denis Feeney
69,William   Anderson
70,James D. Hardy Jr.
71,Kathleen Olmstead
72,John Keats
73,Vera John-Steiner
74,Isabel Sharpe
75,C.D.B. Bryan
76,James H. Billington
77,George F. Jewsbury
78,Ronald Takaki
79,Brian  Phillips
80,Camille Cauti
81,George Herbert Palmer
82,Cesare Beccaria
83,Andy Crouch
84,David R. Slavitt
85,Bruce Holland Rogers
86,Nancy Springer
87,Melody Carlson
88,N. Mark Collins
89,John Edgar Wideman
90,Cait London
91,Jon Turney
92,Annette Lavers
93,Philip Whalen
94,William John Rossi
95,Magnus Magnusson
96,William Goldman
97,Lynn Keller
98,Fontaine Dollas Dubus
99,Gene Thompson-Grove
