ratingID,bookID,average_rating,ratings_count,text_reviews_count
0,1,4.57,2095690,27591
1,2,4.49,2153167,29221
2,4,4.42,6333,244
3,5,4.56,2339585,36325
4,8,4.78,41428,164
5,9,3.74,19,1
6,10,4.73,28242,808
7,12,4.38,3628,254
8,13,4.38,249558,4080
9,14,4.22,4930,460
10,16,4.22,1266,253
11,18,4.38,2877,195
12,21,4.21,248558,9396
13,22,3.44,7270,499
14,23,3.87,2088,131
15,24,4.07,72451,4245
16,25,3.9,49240,2211
17,26,3.83,45712,2257
18,27,3.86,48701,2238
19,28,3.91,80609,3301
20,29,3.93,28489,2085
21,30,4.59,101233,1550
22,31,4.5,1710,91
23,34,4.36,2128944,13670
24,35,4.5,1618,140
25,36,4.53,19822,46
26,37,4.5,359,6
27,45,3.84,1430,59
28,50,3.72,270244,12017
29,51,4.0,36,2
30,53,3.88,2067,334
31,54,4.33,6,0
32,55,3.45,99,16
33,57,3.76,167,4
34,58,3.6,978,111
35,59,4.06,4454,302
36,61,4.17,1176,96
37,63,3.55,301,43
38,66,3.98,345,12
39,67,3.83,29686,2626
40,68,3.83,55,12
41,69,3.83,22,3
42,71,3.83,1456,82
43,72,4.13,52,4
44,74,4.42,562,37
45,75,3.95,1630,203
46,76,4.17,268,22
47,77,4.24,3498,305
48,78,4.34,3115,228
49,79,4.22,5704,261
50,80,3.92,698,52
51,81,4.23,542,36
52,83,4.23,1341,98
53,85,3.75,1423,70
54,86,3.84,2766,64
55,89,3.94,31,1
56,90,3.77,62,4
57,91,4.46,860,53
58,92,3.68,77,2
59,93,3.99,153317,2257
60,94,3.25,55,5
61,96,4.46,34,6
62,98,3.89,11797,659
63,99,3.82,34,8
64,100,3.78,78,4
65,103,3.84,2785,166
66,105,3.91,38778,568
67,106,3.88,97494,2359
68,107,4.01,784,21
69,109,3.86,272,20
70,110,3.88,4789,83
71,117,3.86,45388,644
72,119,4.59,26153,102
73,122,4.35,69167,4551
74,123,4.35,45,13
75,129,4.28,16,1
76,130,3.34,174,16
77,131,3.67,10,0
78,132,3.48,76,9
79,133,3.5,111,9
80,135,3.62,24,0
81,137,3.55,55,4
82,138,4.27,9,0
83,139,3.39,22,1
84,140,3.89,17,3
85,141,3.84,166,4
86,142,4.12,50,5
87,144,4.08,13,2
88,147,3.48,64,1
89,151,4.05,16643,1851
90,152,4.05,109420,5696
91,153,4.05,2904,309
92,154,3.85,16,3
93,155,4.05,9564,726
94,156,4.05,474,72
95,157,4.05,303,48
96,159,2.99,411,65
97,160,4.19,1204,33
98,162,3.71,3429,279
99,163,3.95,2163,216
